nhse_ccg_code,ons_ccg_code,total_all,total_male,total_female,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_94,male_95,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_94,female_95
03V,E38000037,76199,38040,38159,2649,2756,2310,2028,2110,2716,3070,2874,2503,2810,2884,2499,1955,1648,1266,916,604,294,124,24,2481,2606,2198,2057,2194,2890,3233,2621,2333,2673,2727,2434,1963,1700,1430,1053,780,489,217,80
03W,E38000051,326521,160996,165525,8679,9655,9366,9533,8237,8902,8770,9240,10046,12191,12619,11396,9939,10092,8764,5890,4256,2375,865,181,8111,9054,8949,8568,7823,9078,9138,9856,10429,12353,12829,11338,9892,10679,9299,6738,5491,3610,1711,579
03X,E38000058,97394,48755,48639,2800,2821,2528,2616,2843,3199,3064,3019,3124,3872,3872,3359,2761,2845,2366,1654,1123,618,223,48,2555,2562,2425,2437,2702,3290,3079,2908,2994,3779,3817,3233,2738,2911,2499,1842,1386,922,420,140
03Y,E38000071,103463,51575,51888,2753,3010,2731,2736,3050,3266,3135,2939,3083,4019,4059,3644,3117,3110,2897,1907,1206,639,223,51,2667,2697,2733,2670,2934,3181,3156,2738,3111,3896,3955,3402,3147,3242,2941,2030,1592,1080,532,184
04C,E38000097,396942,201466,195476,13305,13829,12623,13806,18675,16835,17497,16378,13863,12947,11757,10689,8790,7145,4918,3595,2653,1412,571,178,12631,13368,11752,13786,20239,17007,16332,13805,11846,11701,10758,9940,8268,7020,5229,4326,3525,2354,1167,422
04D,E38000100,236719,116312,120407,6683,6903,6290,7211,8649,7685,7407,6736,6782,7994,8457,7457,6413,6648,5879,4095,2819,1540,557,107,6373,6450,5950,7520,9248,7935,7530,6986,6862,8251,8452,7495,6510,6966,6202,4457,3415,2342,1083,380
04E,E38000103,191576,95274,96302,5824,5928,5171,4977,5592,6471,6580,6040,5984,7186,7252,6435,5475,5381,4518,2977,1983,1053,377,70,5594,5768,4924,4696,5579,6648,6471,5919,5755,6851,7140,6333,5448,5397,4866,3463,2649,1725,822,254
04F,E38000107,288138,144355,143783,9931,10969,9474,8275,7730,9814,11190,12221,11598,11056,10008,8457,6960,6159,4464,2852,1755,1004,363,75,9559,10338,8974,7658,7565,10697,11773,11942,10705,10228,9438,8166,7129,6539,4751,3248,2376,1591,880,226
04G,E38000108,671013,335441,335572,20482,22216,19707,18954,19298,21693,22997,23434,23394,26012,25365,20971,17779,17782,14577,9352,6331,3480,1315,302,19622,21029,19355,18014,19463,22584,23162,22469,22386,24636,23912,20423,17586,18696,15196,10160,7743,5414,2706,1016
04H,E38000109,133084,65795,67289,3577,3853,3657,3608,3669,3964,3864,3712,4050,5129,5213,4574,3998,4164,3539,2397,1639,836,296,56,3366,3792,3530,3402,3651,3941,3893,3764,4075,4978,5120,4633,4109,4332,3798,2652,2056,1332,661,204
